id,Geographic Area Name,Estimate!!Total!!Grandparents living with own grandchildren under 18 years,Estimate!!Percent distribution of grandparents responsible for grandchildren!!Total!!Grandparents living with own grandchildren under 18 years,Estimate!!Percent distribution of grandparents responsible for grandchildren!!30 to 59 years!!Grandparents living with own grandchildren under 18 years
0500000US22005,"Ascension Parish, Louisiana",2716,1085,655
0500000US22055,"Lafayette Parish, Louisiana",3572,1237,823
0500000US22125,"West Feliciana Parish, Louisiana",576,132,81
0500000US22051,"Jefferson Parish, Louisiana",11062,4157,2232
0500000US22011,"Beauregard Parish, Louisiana",1139,764,588
0500000US22013,"Bienville Parish, Louisiana",502,335,215
0500000US22015,"Bossier Parish, Louisiana",3353,1905,1183
0500000US22023,"Cameron Parish, Louisiana",102,58,51
0500000US22037,"East Feliciana Parish, Louisiana",534,323,170
0500000US22039,"Evangeline Parish, Louisiana",558,342,269
0500000US22045,"Iberia Parish, Louisiana",2288,1279,857
0500000US22061,"Lincoln Parish, Louisiana",860,451,242
0500000US22087,"St. Bernard Parish, Louisiana",1331,437,207
0500000US22091,"St. Helena Parish, Louisiana",550,364,165
0500000US22119,"Webster Parish, Louisiana",996,523,339
0500000US22121,"West Baton Rouge Parish, Louisiana",562,287,234
0500000US22031,"De Soto Parish, Louisiana",573,384,79
0500000US22047,"Iberville Parish, Louisiana",1352,830,552
0500000US22081,"Red River Parish, Louisiana",238,190,51
0500000US22027,"Claiborne Parish, Louisiana",446,321,242
0500000US22113,"Vermilion Parish, Louisiana",1732,927,651
0500000US22127,"Winn Parish, Louisiana",507,288,152
0500000US22033,"East Baton Rouge Parish, Louisiana",9430,4640,2867
0500000US22085,"Sabine Parish, Louisiana",699,343,173
0500000US22003,"Allen Parish, Louisiana",559,404,258
0500000US22095,"St. John the Baptist Parish, Louisiana",1286,515,363
0500000US22075,"Plaquemines Parish, Louisiana",556,281,256
0500000US22073,"Ouachita Parish, Louisiana",3583,1635,1085
0500000US22079,"Rapides Parish, Louisiana",3475,1780,823
0500000US22117,"Washington Parish, Louisiana",2022,1167,727
0500000US22097,"St. Landry Parish, Louisiana",1731,701,396
0500000US22105,"Tangipahoa Parish, Louisiana",3563,1727,1026
0500000US22001,"Acadia Parish, Louisiana",1732,976,513
0500000US22101,"St. Mary Parish, Louisiana",1458,853,537
0500000US22123,"West Carroll Parish, Louisiana",294,192,103
0500000US22103,"St. Tammany Parish, Louisiana",6124,2555,1352
0500000US22111,"Union Parish, Louisiana",550,366,177
0500000US22063,"Livingston Parish, Louisiana",4367,2692,1564
0500000US22067,"Morehouse Parish, Louisiana",771,500,286
0500000US22069,"Natchitoches Parish, Louisiana",692,342,176
0500000US22071,"Orleans Parish, Louisiana",7460,3254,1880
0500000US22109,"Terrebonne Parish, Louisiana",3313,1377,777
0500000US22025,"Catahoula Parish, Louisiana",281,212,181
0500000US22019,"Calcasieu Parish, Louisiana",5102,2471,1693
0500000US22041,"Franklin Parish, Louisiana",470,274,119
0500000US22009,"Avoyelles Parish, Louisiana",1265,874,537
0500000US22007,"Assumption Parish, Louisiana",724,389,173
0500000US22049,"Jackson Parish, Louisiana",464,301,195
0500000US22077,"Pointe Coupee Parish, Louisiana",620,374,204
0500000US22083,"Richland Parish, Louisiana",690,467,325
0500000US22099,"St. Martin Parish, Louisiana",1221,363,213
0500000US22115,"Vernon Parish, Louisiana",1344,817,581
0500000US22059,"LaSalle Parish, Louisiana",274,187,107
0500000US22089,"St. Charles Parish, Louisiana",1670,658,246
0500000US22057,"Lafourche Parish, Louisiana",2411,1421,846
0500000US22029,"Concordia Parish, Louisiana",603,402,291
0500000US22107,"Tensas Parish, Louisiana",162,141,101
0500000US22065,"Madison Parish, Louisiana",466,346,225
0500000US22053,"Jefferson Davis Parish, Louisiana",991,647,480
0500000US22093,"St. James Parish, Louisiana",835,453,233
0500000US22043,"Grant Parish, Louisiana",419,281,128
0500000US22021,"Caldwell Parish, Louisiana",373,243,117
0500000US22017,"Caddo Parish, Louisiana",6844,3403,1849
0500000US22035,"East Carroll Parish, Louisiana",146,90,45